sid,lwr,med,upr
0,0,0,0
ai,0.192540398192468,0.450717703476269,0.592074520569978
aii,0.208994669242069,0.522977721541176,0.603511640051123
b,0.51832513157222,0.732378540856878,0.780561875524031
c,0.790795305134202,0.901453858923175,0.969553411374924
di,0.929071417807,0.945099215573141,0.958979759417357
dii,0.530116446442759,0.612315381630517,0.688197414079455
diii,0.410101216185784,0.582555336262398,0.786727432886877
div,0.0669208181239275,0.113316504385724,0.296086208263377
e,0.380485354502018,0.546412205687208,0.646316940078367
